Unique ID,Type of the Furniture,Name,Description,Material,Color,Warranty Period (in years),Price (in US dollars),Dimensions in cm (LxWxH),Country of Creation,Features,Quantity
o0Rk2H,Wardrobe,Compact Wardrobe,A comfortable wood wardrobe without mirror.,Wood,Beige,5,483,225x109x101,Italy,"2 sections, without mirror",13
2jJayi,Bed,Relax Bed,A compact wood bed queen.,Wood,Natural Oak,5,253,209x78x94,Italy,"double, with storage",25
JtB4IU,Chair,Zippy Chair,A comfortable fabric chair without armrests.,Fabric,Silver,1,258,291x131x73,Sweden,with armrests,27
QVCWfZ,Bed,Relax Bed,A compact wood bed queen.,Wood,Beige,5,100,63x102x89,USA,"single, with storage",51
QMqFqc,Wardrobe,Chic Wardrobe,An elegant glass wardrobe with mirror.,Glass,Charcoal Gray,3,652,85x112x185,Poland,"1 sections, without mirror",63
KMWpQl,Wardrobe,Smart Wardrobe,A luxurious glass wardrobe 1.,Glass,Charcoal Gray,3,631,110x136x56,Italy,"1 sections, with mirror",52
AmzGpa,Sofa,Cozy Sofa,A sturdy wood sofa 1.,Wood,Walnut Brown,5,338,96x72x85,Germany,"3 seats, without recliner",22
U2XbQf,Bed,Lush Bed,An ergonomic metal bed double.,Metal,Ivory White,10,381,280x57x83,Poland,"king, with storage",40
ZG0kUb,Bed,Relax Bed,An ergonomic fabric bed single.,Fabric,Ivory White,1,70,183x54x172,USA,"king, without storage",63
jBdQIi,Wardrobe,Zippy Wardrobe,A modern plastic wardrobe with mirror.,Plastic,Jet Black,2,171,206x86x137,Poland,"2 sections, without mirror",28
7kWRtE,Sofa,Snug Sofa,A compact fabric sofa with recliner.,Fabric,Beige,1,180,278x101x140,Germany,"3 seats, without recliner",16
nACKSn,Sofa,Lush Sofa,A sturdy fabric sofa without recliner.,Fabric,Walnut Brown,1,297,244x84x147,Italy,"2 seats, with recliner",81
xw1vKg,Table,Sturdy Table,A modern fabric table extendable.,Fabric,Walnut Brown,1,281,180x121x149,China,"circular, extendable",14
UW4UnS,Wardrobe,Zippy Wardrobe,A comfortable metal wardrobe 1.,Metal,Ivory White,10,543,180x99x74,Poland,"2 sections, without mirror",21
sc5K8a,Table,Cosy Table,A luxurious fabric table extendable.,Fabric,Silver,1,248,222x131x100,Italy,"rectangular, extendable",22
KpTsXu,Sofa,Lush Sofa,A sturdy glass sofa with recliner.,Glass,Charcoal Gray,3,428,181x62x78,Poland,"1 seats, with recliner",66
jR8hK9,Wardrobe,Zippy Wardrobe,A comfortable metal wardrobe 1.,Metal,Silver,10,565,123x50x171,Poland,"2 sections, without mirror",24
FMLigV,Wardrobe,Chic Wardrobe,A compact metal wardrobe without mirror.,Metal,Ivory White,10,84,248x110x158,Germany,"2 sections, with mirror",56
a0BD7C,Chair,Buddy Chair,A comfortable plastic chair without armrests.,Plastic,Charcoal Gray,2,202,97x81x139,Italy,without armrests,92
KQfd4e,Table,Buddy Table,A comfortable fabric table not extendable.,Fabric,Beige,1,392,162x37x125,Italy,"circular, extendable",55
TBd9XT,Table,Elegant Table,A comfortable metal table circular.,Metal,Jet Black,10,127,189x88x178,Italy,"rectangular, extendable",73
VWudm2,Sofa,Cozy Sofa,A comfortable fabric sofa without recliner.,Fabric,Charcoal Gray,1,215,228x41x76,USA,"2 seats, without recliner",76
H6ctip,Table,Elegant Table,A modern wood table not extendable.,Wood,Jet Black,5,330,135x44x150,China,"circular, extendable",97
M2BHCi,Sofa,Comfy Sofa,An ergonomic wood sofa 3.,Wood,Charcoal Gray,5,65,106x49x177,USA,"2 seats, without recliner",38
cfJBBm,Bed,Lush Bed,An ergonomic metal bed double.,Metal,Ivory White,10,669,237x124x65,Italy,"single, without storage",45
g4RtiR,Chair,Snug Chair,A compact wood chair with armrests.,Wood,Walnut Brown,5,204,101x145x88,Germany,without armrests,59
S6GoqL,Bed,Cozy Bed,A compact plastic bed queen.,Plastic,Natural Oak,2,129,189x61x171,China,"king, with storage",94
yJPKkl,Sofa,Relax Sofa,An ergonomic glass sofa 2.,Glass,Charcoal Gray,3,553,128x52x172,Sweden,"3 seats, with recliner",91
5Uc1Rw,Wardrobe,Compact Wardrobe,A comfortable glass wardrobe 1.,Glass,Natural Oak,3,680,238x30x42,Sweden,"1 sections, with mirror",69
S9uKpI,Wardrobe,Chic Wardrobe,A modern fabric wardrobe 2.,Fabric,Natural Oak,1,216,279x124x98,USA,"1 sections, with mirror",39
bXnIbK,Bed,Dreamy Bed,A luxurious metal bed with storage.,Metal,Natural Oak,10,177,236x126x86,China,"king, with storage",37
MDBkJp,Wardrobe,Smart Wardrobe,A comfortable plastic wardrobe 1.,Plastic,Charcoal Gray,2,128,118x148x144,Italy,"1 sections, with mirror",12
RJARik,Sofa,Lush Sofa,A compact plastic sofa without recliner.,Plastic,Ivory White,2,180,184x129x59,Italy,"2 seats, with recliner",26
9lvjir,Wardrobe,Chic Wardrobe,An elegant wood wardrobe without mirror.,Wood,Beige,5,447,128x105x48,Germany,"1 sections, without mirror",12
A0ng4Q,Chair,Zippy Chair,A modern plastic chair without armrests.,Plastic,Ivory White,2,59,57x119x98,Sweden,without armrests,99
Z1M2UX,Wardrobe,Chic Wardrobe,A modern fabric wardrobe 2.,Fabric,Jet Black,1,110,185x41x104,Germany,"1 sections, with mirror",28
0x5GKk,Bed,Lush Bed,A modern wood bed without storage.,Wood,Walnut Brown,5,328,184x72x97,Italy,"queen, without storage",42
sxCbLr,Wardrobe,Zippy Wardrobe,A luxurious glass wardrobe 1.,Glass,Beige,3,603,161x100x91,Italy,"1 sections, with mirror",8
Cw9z6b,Wardrobe,Zippy Wardrobe,A modern fabric wardrobe with mirror.,Fabric,Charcoal Gray,1,249,268x51x156,Sweden,"1 sections, without mirror",98
OZsAtO,Table,Cosy Table,A luxurious fabric table extendable.,Fabric,Ivory White,1,259,299x146x136,Germany,"rectangular, extendable",27
ZIcaHt,Chair,Buddy Chair,An ergonomic wood chair without armrests.,Wood,Beige,5,468,295x60x62,Poland,without armrests,42
CBus9Q,Chair,Cosy Chair,An elegant metal chair with armrests.,Metal,Walnut Brown,10,123,186x46x57,China,with armrests,66
7jPHCO,Table,Elegant Table,An ergonomic glass table extendable.,Glass,Jet Black,3,546,240x42x186,China,"rectangular, extendable",73
MmIKqU,Sofa,Relax Sofa,A compact fabric sofa with recliner.,Fabric,Silver,1,273,55x108x173,Poland,"2 seats, with recliner",35
J9SNu7,Chair,Cosy Chair,A sturdy glass chair with armrests.,Glass,Silver,3,323,96x48x167,Poland,without armrests,39
